,energy,protein,total_fat,sat_fat,calcium,iron,magnesium,phosphorus,potassium,sodium,zink,vit_c,thiamin,riboflavin,niacin,vit_b6,folate,vit_b12,vit_a,vit_e,vit_d,vit_k
,kcal,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,IU,mg,IU,µg
f-rice,363,7.23,2.78,0.557,11,1.98,112,337,289,8,2.45,0.0,0.443,0.080,6.340,0.736,16,0.00,0,0.60,0,0.0
f-rye,349,10.88,1.52,0.180,24,2.54,63,225,374,2,2.17,0.0,0.287,0.114,1.727,0.268,34,0.00,0,1.43,0,5.9
f-wheat-integral,340,13.21,2.50,0.430,34,3.60,137,357,363,2,2.60,0.0,0.502,0.165,4.957,0.407,44,0.00,9,0.71,0,1.9
f-wheat-white,364,10.33,0.98,0.155,15,4.64,22,108,107,2,0.70,0.0,0.785,0.494,5.904,0.044,291,0.00,0,0.06,0,0.3
g-amaranth,371,13.56,7.02,1.459,159,7.61,248,557,508,4,2.87,4.2,0.116,0.200,0.923,0.591,82,0.00,2,1.19,0,0.0
g-barley,352,9.91,1.16,0.244,29,2.50,79,221,280,9,2.13,0.0,0.191,0.114,4.604,0.260,23,0.00,22,0.02,0,2.2
g-buckwheat,343,13.25,3.40,0.741,18,2.20,231,347,460,1,2.40,0.0,0.101,0.425,7.020,0.210,30,0.00,0,0.0,0,0.0
g-oats,379,13.15,6.52,1.110,52,4.25,138,410,362,6,3.64,0.0,0.460,0.155,1.125,0.100,32,0.00,0,0.42,0,2.0
g-quinoa,368,14.12,6.07,0.706,47,4.57,197,457,563,5,3.10,0.0,0.360,0.318,1.520,0.487,184,0.00,14,2.44,0,0.0
g-rice,362,7.50,2.68,0.536,33,1.80,143,264,268,4,2.02,0.0,0.413,0.043,4.308,0.509,20,0.00,0,0.0,0,0.0
g-wheat-sprouted,198,7.49,1.27,0.206,28,2.14,82,200,169,16,1.65,2.6,0.225,0.155,3.087,0.265,38,0.00,0,0.0,0,0.0
d-eggs,592,48.05,43.90,15.069,244,7.20,34,629,540,476,3.15,0.0,0.183,1.977,0.340,0.499,119,2.96,1029,3.88,331,1.2
d-milk-reduced-fat,50,3.30,1.98,1.257,120,0.02,11,92,140,47,0.48,0.2,0.039,0.185,0.092,0.038,5,0.53,190,0.03,49,0.2
d-milk-whole,64,3.28,3.66,2.278,119,0.05,13,93,151,49,0.38,1.5,0.038,0.161,0.084,0.042,5,0.36,138,0.0,0.0,0.0
d-milk-whole-vit-d,61,3.15,3.25,1.865,113,0.03,10,84,132,43,0.37,0.0,0.046,0.169,0.089,0.036,5,0.45,162,0.07,51,0.3
