# lower and upper bounds on weight of each ingredient
# food, low, high
f-rice,0,10
f-rye,0,10
f-wheat-integral,0,10
f-wheat-white,0,10
g-amaranth,0,10
g-barley,0,10
g-buckwheat,0,10
g-oats,0,10
g-quinoa,0,10
g-rice,0,10
g-wheat-sprouted,0,10
d-eggs,0,10
d-milk-reduced-fat,0,10
d-milk-whole,0,10
d-milk-whole-vit-d,0,10
l-black-beans,0,10
l-chickpeas,0,10
l-lentils,0,10
l-lentils-sprouted,0,10
l-mung,0,10
l-mung-sprouted,0,10
l-peanuts,0,10
l-peas,0,10
n-almonds,0,10
n-brazilnuts,0,10
n-cashew,0,10
n-chia,0,10
n-flaxseed,0,10
n-pumpkin,0,10
n-sesame,0,10
n-sunflower,0,10
n-walnuts,0,10
o-canola,0,10
o-coconut,0,10
o-olive,0,10
o-sunflower,0,10
u-apple,0,10
u-avocado,0,10
u-banana,0,10.0
u-dates,0,10
u-grapes,0,10
u-guava,0,10
u-mango,0,10
u-olives,0,10
u-orange,0,10
u-papaya,0,10
u-persimmon,0,10
u-pineapple,0,10
u-raisins,0,10
u-tangerine,0,10
v-beet,0,10
v-broccoli,0,10
v-cabbage,0,10
v-cabbage-red,0,10
v-carrot,0,10
v-cauliflower,0,10
v-eggplant,0,10
v-garlic,0,10
v-green-beans,0,10
v-kale,0,10
v-okra,0,10
v-onion,0,10
v-peppers,0,10
v-potato,0,10
v-pumpkin,0,10
v-sweet-potato,0,10
v-tomato,0,10
